AppID,Name,Genres
402890,Nyctophilia,Adventure
1151740,Prison Princess,Adventure
875530,Dead In Time,Action
1835360,Panacle: Back To Wild,Strategy
431510,Mystic Destinies: Serendipity of Aeons,Simulation
1054250,krAsAvA Shot,Adventure
2604580,THE JUSOU 3,Casual
1154840,Shadow Empire,Strategy
496740,Discovering Space 2,Casual
1292170,Krush Kill 'N Destroy Xtreme,Strategy
1224490,Inner Worlds,Action
2261280,WHITE WATER,Action
2325490,Minamochi Factory,Casual
600170,Off The Record: The Art of Deception Collector's Edition,Adventure
2214650,Rolando Deluxe,Action
1709580,Tiny Robots Recharged,Adventure
2459820,Flat Spot,Racing
282010,Carmageddon Max Pack,Racing
382310,Eco,Simulation
970130,Trinity VR,Action
518680,Kapsul Infinite,Action
3059300,DOG,Simulation
589620,It Lurks in the Woods,Adventure
1225320,HENTAI SEEK,Adventure
1124310,Android Helipad,Action
2336220,Feed the Cups,Simulation
2840330,Dodgeman,Racing
1151640,Horizon Zero Dawnâ„¢ Complete Edition,Action
2538070,The puzzle of blocks,Strategy
434030,Aerofly FS 2 Flight Simulator,Racing
2752380,The Shadow Cat,Adventure
536660,JCB Pioneer: Mars,Simulation
1299430,Extortion,Simulation
1065050,Gunship Recon,Action
1212480,Labirinto 3,Casual
2385290,SPACEJUMP,Casual
225840,Sven Co-op,Action
1037930,Era of Miracles,Adventure
1954570,Death Dungeon,Strategy
1343700,Break Space: Out of Bounds,Casual
